group,name
English,Emma
English,Olivia
English,Ava
English,Isabella
English,Sophia
English,Charlotte
English,Mia
English,Amelia
English,Harper
English,Evelyn
English,Abigail
English,Emily
English,Elizabeth
English,Sofia
English,Avery
English,Ella
English,Scarlett
English,Grace
English,Chloe
English,Victoria
English,Riley
English,Aria
English,Lily
English,Aubrey
English,Zoey
English,Penelope
English,Hannah
English,Layla
English,Nora
English,Lillian
English,Addison
English,Eleanor
English,Natalie
English,Luna
English,Savannah
English,Brooklyn
English,Leah
English,Zoe
English,Stella
English,Hazel
English,Ellie
English,Violet
English,Aurora
English,Claire
English,Bella
English,Skylar
English,Lucy
English,Paisley
English,Anna
English,Caroline
English,Nova
English,Genesis
English,Emilia
English,Kennedy
English,Samantha
English,Maya
English,Willow
English,Kinsley
English,Naomi
English,Aaliyah
Arabic,Fatima
Arabic,Aisha
Arabic,Zainab
Arabic,Mariam
Arabic,Sarah
Arabic,Amina
Arabic,Khadija
Arabic,Layla
Arabic,Nour
Arabic,Yasmin
Arabic,Hala
Arabic,Rania
Arabic,Dalia
Arabic,Lina
Arabic,Salma
Arabic,Nada
Arabic,Reem
Arabic,Hana
Arabic,Mona
Arabic,Jana
Asian,Mei
Asian,Sakura
Asian,Yuki
Asian,Hana
Asian,Akari
Asian,Haruka
Asian,Ayumi
Asian,Rin
Asian,Kaori
Asian,Yumi
Asian,Priya
Asian,Ananya
Asian,Aadhya
Asian,Diya
Asian,Saanvi
Asian,Riya
Asian,Myra
Asian,Aanya
Asian,Kiara
Asian,Aditi
African,Amara
African,Zuri
African,Nia
African,Kaya
African,Imani
African,Amina
African,Zahara
African,Nala
African,Ayo
African,Ayana
African,Chioma
African,Ife
African,Zola
African,Makena
African,Naima
African,Safiya
African,Tendai
African,Thandiwe
African,Khadija
African,Aminata
